,Player,Opp,PPR PTS,0.5 PPR,STD PTS,C/A,PCT,YDS,TD,INT,RUSH,YDS.1,AVG,TD.1,REC,TAR,YDS.2,AVG.1,TD.2,2PC,FUM,Name,pos,team,weekn
3903,"Nate Adkins (TE, DEN)",KC,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Nate Adkins,TE, den,8
3904,"Owen Wright (RB, BAL)",@ARI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Owen Wright,RB, bal,8
3905,"Brady Russell (TE, SEA)",CLE,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brady Russell,TE, sea,8
3906,"Elijah Cooks (WR, JAX)",@PIT,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Elijah Cooks,WR, jax,8
3907,"Marcedes Lewis (TE, CHI)",@NO,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Marcedes Lewis,TE, chi,9
3908,"Josh Johnson (QB, BAL)",SEA,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Josh Johnson,QB, bal,9
3909,"Matthew Slater (WR, NE)",WAS,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Matthew Slater,WR, ne,9
3910,"Brian Hoyer (QB, LV)",NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brian Hoyer,QB, lv,9
3911,"Matthew Stafford (QB, LAR)",@GB,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Matthew Stafford,QB, lar,9
3912,"Jimmy Graham (TE, NO)",CHI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Jimmy Graham,TE, no,9
3913,"Andy Dalton (QB, CAR)",IND,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Andy Dalton,QB, car,9
3914,"Blaine Gabbert (QB, KC)",MIA,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Blaine Gabbert,QB, kc,9
3915,"Randall Cobb (WR, NYJ)",LAC,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Randall Cobb,WR, nyj,9
3916,"Julio Jones (WR, PHI)",DAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Julio Jones,WR, phi,9
3917,"Brandon Bolden (RB, LV)",NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brandon Bolden,RB, lv,9
3918,"Ryan Tannehill (QB, TEN)",@PIT,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Ryan Tannehill,QB, ten,9
