,Rushing,Rush,Yds,Avg,Long,TD,FL,opp,weekn
1726,T. Etienne Jr.,14,35,2.5,16,1,0,cle,14
1727,D. Johnson,3,12,4.0,6,0,0,cle,14
1728,T. Lawrence,3,11,3.7,7,0,0,cle,14
1729,L. Jackson,11,70,6.4,16,0,0,lar,14
1730,K. Mitchell,9,54,6.0,27,0,0,lar,14
1731,G. Edwards,6,15,2.5,5,0,0,lar,14
1732,K. Williams,25,114,4.6,14,0,0,bal,14
1733,R. Freeman,3,9,3.0,3,0,0,bal,14
1734,P. Nacua,1,6,6.0,6,0,0,bal,14
1735,M. Stafford,1,-1,-1.0,-1,0,0,bal,14
1736,J. Mixon,21,79,3.8,18,1,0,ind,14
1737,C. Brown,8,25,3.1,10,0,0,ind,14
1738,J. Browning,3,7,2.3,4,1,0,ind,14
1739,Z. Moss,13,28,2.2,12,0,0,cin,14
1740,T. Sermon,3,13,4.3,8,0,0,cin,14
1741,G. Minshew II,2,5,2.5,6,0,0,cin,14
1742,Z. White,17,69,4.1,15,1,0,lac,15
1743,A. Abdullah,6,32,5.3,9,0,0,lac,15
1744,B. Bolden,2,25,12.5,26,1,0,lac,15
1745,T. Tucker,1,-2,-2.0,-2,0,0,lac,15
1746,I. Spiller,16,50,3.1,8,0,0,lv,15
1747,J. Kelley,5,22,4.4,11,0,1,lv,15
1748,E. Stick,2,11,5.5,9,0,0,lv,15
1749,A. Ekeler,5,9,1.8,6,0,0,lv,15
1750,T. Lawrence,4,41,10.3,13,0,1,bal,15
1751,T. Etienne Jr.,10,31,3.1,7,0,0,bal,15
1752,D. Johnson,2,5,2.5,4,0,0,bal,15
1753,T. Bigsby,1,-2,-2.0,-2,0,0,bal,15
1754,L. Jackson,12,97,8.1,21,0,0,jax,15
1755,K. Mitchell,9,73,8.1,24,0,0,jax,15
1756,G. Edwards,16,58,3.6,20,1,0,jax,15
1757,J. Hill,5,23,4.6,8,0,0,jax,15
1758,K. Williams,27,152,5.6,27,1,1,was,15
1759,D. Robinson,1,23,23.0,23,0,0,was,15
1760,R. Freeman,6,16,2.7,4,0,0,was,15
1761,P. Nacua,2,3,1.5,2,0,0,was,15
1762,M. Stafford,1,2,2.0,2,0,0,was,15
1763,C. Rodriguez Jr.,10,35,3.5,11,0,0,lar,15
1764,S. Howell,3,22,7.3,13,0,0,lar,15
1765,A. Gibson,4,15,3.8,8,0,0,lar,15
1766,J. Brissett,2,9,4.5,9,0,0,lar,15
1767,T. Way,1,0,0.0,0,0,0,lar,15
1768,J. Williams,1,-2,-2.0,-2,0,0,lar,15
1769,K. Walker III,19,86,4.5,23,1,0,phi,15
1770,Z. Charbonnet,4,16,4.0,6,0,0,phi,15
1771,D. Lock,1,-2,-2.0,-2,0,0,phi,15
1772,J. Hurts,13,82,6.3,20,2,0,sea,15
1773,D. Swift,18,74,4.1,11,0,0,sea,15
1774,K. Gainwell,6,21,3.5,8,0,0,sea,15
1775,D. Goedert,1,1,1.0,1,0,0,sea,15
1776,T. Spears,9,30,3.3,9,0,0,hou,15
1777,W. Levis,4,25,6.3,11,1,0,hou,15
1778,D. Henry,16,9,0.6,6,0,0,hou,15
1779,T. Burks,1,2,2.0,2,0,0,hou,15
1780,D. Singletary,26,121,4.7,19,0,0,ten,15
1781,D. Ogunbowale,1,17,17.0,17,0,0,ten,15
1782,X. Hutchinson,1,5,5.0,5,0,0,ten,15
1783,D. Pierce,1,3,3.0,3,0,0,ten,15
1784,C. Keenum,2,1,0.5,1,0,0,ten,15
1785,S. Sims,1,1,1.0,1,0,0,ten,15
1786,J. Cook,25,179,7.2,24,1,0,dal,15
1787,T. Johnson,9,54,6.0,11,0,0,dal,15
1788,J. Allen,8,24,3.0,9,1,0,dal,15
1789,L. Murray,5,11,2.2,8,1,0,dal,15
1790,K. Allen,2,-2,-1.0,-1,0,0,dal,15
1791,T. Pollard,11,52,4.7,11,0,0,buf,15
1792,D. Prescott,4,27,6.8,13,0,0,buf,15
1793,R. Dowdle,3,4,1.3,5,0,0,buf,15
1794,C. Lamb,1,3,3.0,3,1,0,buf,15
1795,H. Luepke,1,3,3.0,3,0,0,buf,15
1796,E. Elliott,11,25,2.3,5,0,0,kc,15
1797,K. Harris,4,25,6.3,18,1,0,kc,15
1798,B. Zappe,1,2,2.0,2,0,0,kc,15
1799,C. Edwards-Helaire,13,37,2.8,20,0,0,ne,15
1800,J. McKinnon,4,11,2.8,4,0,0,ne,15
1801,P. Mahomes,3,-5,-1.7,-1,0,0,ne,15
1802,J. Conner,14,86,6.1,44,1,0,sf,15
1803,E. Demercado,4,64,16.0,49,1,0,sf,15
1804,K. Murray,6,49,8.2,15,0,0,sf,15
1805,M. Carter,3,27,9.0,19,0,0,sf,15
1806,G. Dortch,1,5,5.0,5,0,0,sf,15
1807,R. Moore,1,3,3.0,3,0,0,sf,15
1808,C. Tune,1,0,0.0,0,0,0,sf,15
1809,C. McCaffrey,18,115,6.4,26,1,0,ari,15
1810,J. Mason,5,20,4.0,17,0,0,ari,15
1811,D. Samuel,1,11,11.0,11,0,0,ari,15
1812,S. Darnold,2,-2,-1.0,-1,0,0,ari,15
1813,A. Kamara,16,66,4.1,15,0,0,nyg,15
1814,J. Williams,8,24,3.0,8,0,0,nyg,15
1815,T. Hill,1,1,1.0,1,0,0,nyg,15
1816,D. Carr,3,-4,-1.3,-1,0,0,nyg,15
1817,T. DeVito,4,36,9.0,14,0,0,no,15
1818,S. Barkley,9,14,1.6,4,0,0,no,15
1819,M. Breida,3,10,3.3,5,0,0,no,15
1820,A. Jones,13,53,4.1,20,0,0,tb,15
1821,P. Taylor,1,6,6.0,6,0,0,tb,15
1822,J. Love,2,1,0.5,2,0,0,tb,15
1823,K. Drake,1,0,0.0,0,0,0,tb,15
1824,R. White,21,89,4.2,22,0,0,gb,15
1825,C. Edmonds,3,13,4.3,9,0,0,gb,15
1826,D. Thompkins,1,-1,-1.0,-1,0,0,gb,15
1827,B. Mayfield,2,-2,-1.0,-1,0,0,gb,15
1828,J. Ford,8,20,2.5,9,0,0,chi,15
1829,K. Hunt,7,8,1.1,3,0,0,chi,15
1830,P. Strong Jr.,2,2,1.0,2,0,0,chi,15
1831,J. Flacco,1,-1,-1.0,-1,0,0,chi,15
1832,R. Johnson,5,36,7.2,22,0,0,cle,15
1833,J. Fields,7,30,4.3,15,0,0,cle,15
1834,V. Jones Jr.,2,23,11.5,15,0,0,cle,15
1835,K. Herbert,6,8,1.3,7,0,0,cle,15
1836,T. Scott,1,-3,-3.0,-3,0,0,cle,15
1837,D. Foreman,6,-6,-1.0,2,0,0,cle,15
1838,R. Mostert,15,42,2.8,18,2,0,nyj,15
1839,D. Achane,9,32,3.6,10,0,0,nyj,15
1840,J. Wilson Jr.,2,5,2.5,5,0,0,nyj,15
1841,M. White,2,-2,-1.0,-1,0,0,nyj,15
1842,B. Hall,6,12,2.0,5,0,0,mia,15
1843,I. Abanikanda,4,8,2.0,6,0,0,mia,15
1844,D. Cook,1,4,4.0,4,0,0,mia,15
1845,A. Davis,1,-1,-1.0,-1,0,0,mia,15
1846,J. Gibbs,11,100,9.1,34,1,0,den,15
1847,D. Montgomery,17,85,5.0,13,0,0,den,15
1848,S. Perine,6,37,6.2,12,0,0,det,15
1849,J. Williams,12,27,2.3,8,0,0,det,15
1850,M. Mims Jr.,1,11,11.0,11,0,0,det,15
1851,R. Wilson,7,6,0.9,2,1,0,det,15
1852,J. McLaughlin,2,2,1.0,1,0,0,det,15
1853,T. Sermon,17,88,5.2,19,0,0,pit,15
1854,T. Goodson,11,69,6.3,31,0,0,pit,15
1855,Z. Moss,4,13,3.3,5,0,0,pit,15
1856,G. Minshew II,2,0,0.0,1,0,0,pit,15
1857,J. Warren,10,40,4.0,11,0,0,ind,15
1858,N. Harris,12,33,2.8,15,0,1,ind,15
1859,M. Trubisky,2,1,0.5,1,1,0,ind,15
1860,C. Hubbard,22,87,4.0,22,0,0,atl,15
1861,I. Smith-Marsette,4,31,7.8,15,0,0,atl,15
1862,B. Young,4,9,2.3,12,0,0,atl,15
1863,M. Sanders,6,2,0.3,3,0,0,atl,15
1864,T. Allgeier,14,45,3.2,8,0,0,car,15
1865,B. Robinson,7,11,1.6,9,0,1,car,15
1866,C. Patterson,5,-2,-0.4,3,0,0,car,15
1867,D. Ridder,5,-2,-0.4,1,0,0,car,15
1868,J. Mixon,10,47,4.7,10,1,0,min,15
1869,C. Brown,7,23,3.3,6,0,0,min,15
1870,T. Williams,1,10,10.0,10,0,0,min,15
1871,J. Browning,4,0,0.0,3,0,0,min,15
1872,T. Chandler,23,132,5.7,30,1,0,cin,15
1873,N. Mullens,6,10,1.7,5,0,0,cin,15
1874,K. Nwangwu,1,1,1.0,1,0,0,cin,15
1875,C. McCaffrey,14,103,7.4,39,1,0,bal,16
1876,S. Darnold,1,9,9.0,9,0,0,bal,16
1877,D. Samuel,2,7,3.5,6,0,0,bal,16
1878,B. Purdy,1,2,2.0,2,0,0,bal,16
1879,L. Jackson,7,45,6.4,30,0,0,sf,16
1880,G. Edwards,9,31,3.4,13,1,0,sf,16
1881,J. Hill,10,26,2.6,6,0,0,sf,16
