,Rushing,Rush,Yds,Avg,Long,TD,FL,opp,weekn
466,Logan Thomas,1,2,2.0,2,0,0,phi,4
467,Curtis Samuel,1,1,1.0,1,1,0,phi,4
468,Dameon Pierce,24,81,3.4,13,0,0,pit,4
469,Devin Singletary,7,25,3.6,9,0,0,pit,4
470,C.J. Stroud,4,16,4.0,11,0,0,pit,4
471,Tank Dell,2,13,6.5,7,0,0,pit,4
472,Mike Boone,1,4,4.0,4,0,0,pit,4
473,Najee Harris,14,71,5.1,23,0,0,hou,4
474,Jaylen Warren,8,29,3.6,18,0,0,hou,4
475,Kenny Pickett,2,9,4.5,8,0,0,hou,4
476,Calvin Austin III,1,5,5.0,5,0,0,hou,4
477,Christian McCaffrey,20,106,5.3,18,3,0,ari,4
478,Jordan Mason,3,10,3.3,4,0,0,ari,4
479,Deebo Samuel,3,6,2.0,5,0,0,ari,4
480,Kyle Juszczyk,2,3,1.5,3,0,0,ari,4
481,Brock Purdy,2,0,0.0,1,1,0,ari,4
482,Sam Darnold,1,-1,-1.0,-1,0,0,ari,4
483,James Conner,11,52,4.7,11,0,0,sf,4
484,Joshua Dobbs,12,48,4.0,12,0,0,sf,4
485,Emari Demercado,1,3,3.0,3,0,0,sf,4
486,Zeke Turner,1,2,2.0,2,0,0,sf,4
487,Travis Etienne Jr.,20,55,2.8,7,0,0,atl,4
488,Trevor Lawrence,8,42,5.3,22,0,0,atl,4
489,Tank Bigsby,3,10,3.3,6,0,0,atl,4
490,D'Ernest Johnson,1,-2,-2.0,-2,0,0,atl,4
491,Bijan Robinson,14,105,7.5,38,0,0,jax,4
492,Tyler Allgeier,7,16,2.3,9,0,0,jax,4
493,Desmond Ridder,1,6,6.0,6,0,0,jax,4
494,Khalil Herbert,18,103,5.7,24,0,0,den,4
495,Justin Fields,4,25,6.3,20,0,0,den,4
496,Tyler Scott,2,19,9.5,11,0,0,den,4
497,Roschon Johnson,5,13,2.6,7,0,0,den,4
498,Velus Jones Jr.,1,10,10.0,10,0,0,den,4
499,Cole Kmet,1,1,1.0,1,0,0,den,4
500,Jaleel McLaughlin,7,72,10.3,31,0,0,chi,4
501,Russell Wilson,4,13,3.3,10,0,0,chi,4
502,Samaje Perine,6,12,2.0,5,0,0,chi,4
503,Javonte Williams,2,0,0.0,1,0,0,chi,4
504,Chuba Hubbard,14,41,2.9,7,0,0,min,4
505,Miles Sanders,13,19,1.5,6,0,0,min,4
506,Bryce Young,2,10,5.0,6,0,0,min,4
507,Laviska Shenault Jr.,1,7,7.0,7,0,0,min,4
508,Adam Thielen,1,6,6.0,6,0,0,min,4
509,Alexander Mattison,17,95,5.6,17,0,0,car,4
510,Cam Akers,5,40,8.0,10,0,0,car,4
511,Kirk Cousins,1,0,0.0,0,0,0,car,4
512,Pierre Strong Jr.,5,49,9.8,40,0,0,bal,4
513,Jerome Ford,9,26,2.9,10,0,0,bal,4
514,Dorian Thompson-Robinson,4,24,6.0,12,0,0,bal,4
515,Kareem Hunt,5,12,2.4,6,0,0,bal,4
516,Harrison Bryant,1,2,2.0,2,0,0,bal,4
517,Elijah Moore,1,-20,-20.0,-20,0,0,bal,4
518,Gus Edwards,15,48,3.2,16,0,0,cle,4
519,Justice Hill,3,33,11.0,15,0,0,cle,4
520,Lamar Jackson,9,27,3.0,10,2,1,cle,4
521,Melvin Gordon III,3,21,7.0,22,0,0,cle,4
522,Tyler Huntley,2,8,4.0,6,0,0,cle,4
523,Zay Flowers,1,-6,-6.0,-6,0,0,cle,4
524,Aaron Jones,5,18,3.6,9,0,0,det,4
525,AJ Dillon,5,11,2.2,6,0,0,det,4
526,Jordan Love,2,-2,-1.0,9,1,0,det,4
527,David Montgomery,32,121,3.8,16,3,0,gb,4
528,Jahmyr Gibbs,8,40,5.0,9,0,0,gb,4
529,Kalif Raymond,1,40,40.0,40,0,0,gb,4
530,Jared Goff,2,10,5.0,11,0,0,gb,4
531,Latavius Murray,4,32,8.0,29,0,0,mia,4
532,James Cook,12,29,2.4,8,1,0,mia,4
533,Damien Harris,6,29,4.8,8,0,0,mia,4
534,Josh Allen,4,17,4.3,11,1,0,mia,4
535,Kyle Allen,3,-3,-1.0,-1,0,0,mia,4
536,De'Von Achane,8,101,12.6,55,2,0,buf,4
537,Tyreek Hill,1,14,14.0,14,0,0,buf,4
538,Braxton Berrios,1,11,11.0,11,0,0,buf,4
539,Raheem Mostert,7,9,1.3,6,0,1,buf,4
540,Tua Tagovailoa,2,7,3.5,4,0,0,buf,4
541,Josh Jacobs,20,69,3.5,24,1,0,gb,5
542,Tre Tucker,1,16,16.0,16,0,0,gb,5
543,Jimmy Garoppolo,4,4,1.0,3,0,0,gb,5
544,Ameer Abdullah,1,4,4.0,4,0,0,gb,5
545,DeAndre Carter,2,3,1.5,3,0,0,gb,5
546,Jakobi Meyers,1,0,0.0,0,0,0,gb,5
547,AJ Dillon,20,76,3.8,11,1,0,lv,5
548,Jordan Love,2,37,18.5,26,0,0,lv,5
549,Patrick Taylor,2,2,1.0,5,0,0,lv,5
550,Christian Watson,1,-5,-5.0,-5,0,0,lv,5
551,Sam Howell,4,19,4.8,10,0,0,chi,5
552,Brian Robinson Jr.,6,10,1.7,5,0,0,chi,5
553,Khalil Herbert,10,76,7.6,34,0,0,was,5
554,Justin Fields,11,57,5.2,14,0,0,was,5
555,Khari Blasingame,8,26,3.3,6,0,0,was,5
556,Roschon Johnson,3,19,6.3,10,0,0,was,5
557,Jaleel McLaughlin,9,68,7.6,38,0,0,nyj,5
558,Russell Wilson,7,49,7.0,21,0,0,nyj,5
559,Samaje Perine,6,22,3.7,8,0,1,nyj,5
560,Breece Hall,22,177,8.0,72,1,0,den,5
561,Zach Wilson,3,26,8.7,9,0,0,den,5
562,Dalvin Cook,6,23,3.8,9,0,0,den,5
563,Michael Carter,1,8,8.0,8,0,0,den,5
564,Kyren Williams,13,53,4.1,11,0,0,phi,5
565,Ronnie Rivers,1,1,1.0,1,0,0,phi,5
566,Jalen Hurts,15,72,4.8,17,1,0,lar,5
567,D'Andre Swift,17,70,4.1,17,0,0,lar,5
568,Kenneth Gainwell,7,17,2.4,4,0,0,lar,5
569,Alexander Mattison,8,26,3.3,7,0,0,kc,5
570,Cam Akers,5,15,3.0,6,0,0,kc,5
571,Ty Chandler,1,15,15.0,15,0,0,kc,5
572,Brandon Powell,1,9,9.0,9,0,0,kc,5
573,Kirk Cousins,3,5,1.7,2,0,0,kc,5
574,Isiah Pacheco,16,55,3.4,11,1,0,min,5
575,Jerick McKinnon,1,7,7.0,7,0,0,min,5
576,Clyde Edwards-Helaire,3,4,1.3,2,0,0,min,5
577,Kadarius Toney,1,1,1.0,1,0,0,min,5
578,Rondale Moore,3,50,16.7,41,0,0,cin,5
579,James Conner,6,46,7.7,35,0,0,cin,5
580,Emari Demercado,10,45,4.5,11,1,0,cin,5
581,Joshua Dobbs,3,1,0.3,2,0,0,cin,5
582,Joe Mixon,25,81,3.2,10,0,0,ari,5
583,Joe Burrow,4,7,1.8,10,0,0,ari,5
