,Total,Sack,Int,PD,FF,team,opp,weekn,home,points,pass_Comp,pass_Att,pass_Yds,pass_TD,rush_Rush,rush_Yds,rush_Avg,rush_TD,rec_Rec,rec_Yds,rec_Avg
190,54.0,1.0,2.0,4.0,1.0,min,sf,7,1,17,21,30,272,1,22.0,65.0,7.800000000000001,1.0,21.0,272.0,76.8
191,65.0,0.0,1.0,4.0,0.0,sf,min,7,0,22,35,45,378,2,21.0,74.0,12.5,0.0,35.0,378.0,89.3
192,60.0,4.0,0.0,8.0,1.0,sea,ari,7,1,10,20,34,150,0,25.0,127.0,18.6,1.0,20.0,150.0,54.3
193,61.0,2.0,1.0,3.0,1.0,ari,sea,7,0,20,18,24,219,2,32.0,115.0,5.7,0.0,18.0,219.0,81.6
194,57.0,2.0,0.0,2.0,1.0,lar,pit,7,1,24,17,25,230,0,29.0,86.0,10.1,3.0,17.0,230.0,59.7
195,61.0,2.0,1.0,2.0,0.0,pit,lar,7,0,17,14,29,231,1,31.0,135.0,16.9,1.0,14.0,231.0,81.8
196,58.0,5.0,2.0,7.0,0.0,kc,lac,7,1,17,17,30,259,1,26.0,139.0,21.1,1.0,17.0,259.0,94.1
197,53.0,1.0,1.0,2.0,1.0,lac,kc,7,0,31,32,42,424,4,21.0,68.0,13.3,0.0,32.0,424.0,115.4
198,65.0,0.0,1.0,5.0,0.0,den,gb,7,1,17,22,32,194,2,29.0,137.0,26.0,0.0,22.0,194.0,88.8
199,55.0,1.0,0.0,0.0,0.0,gb,den,7,0,19,20,29,194,1,25.0,145.0,27.5,0.0,20.0,194.0,49.5
200,75.0,1.0,0.0,3.0,2.0,tb,atl,7,1,16,19,25,250,0,38.0,156.0,17.7,1.0,19.0,250.0,120.4
201,64.0,3.0,1.0,7.0,2.0,atl,tb,7,0,13,27,42,275,1,20.0,73.0,15.1,0.0,27.0,275.0,53.8
202,47.0,1.0,3.0,10.0,0.0,chi,lv,7,1,12,27,45,204,1,14.0,39.0,6.2,0.0,27.0,204.0,64.4
203,73.0,2.0,0.0,3.0,1.0,lv,chi,7,0,30,21,29,162,1,38.0,173.0,24.0,2.0,21.0,162.0,60.6
204,61.0,6.0,1.0,6.0,0.0,nyg,was,7,1,7,22,42,249,0,19.0,76.0,18.3,1.0,22.0,249.0,70.7
205,64.0,4.0,0.0,5.0,1.0,was,nyg,7,0,14,18,29,279,2,32.0,106.0,8.100000000000001,0.0,18.0,279.0,123.7
206,63.0,2.0,2.0,7.0,0.0,ind,cle,7,1,39,16,37,183,0,33.0,150.0,30.9,3.0,16.0,183.0,63.6
207,75.0,4.0,1.0,3.0,4.0,cle,ind,7,0,38,15,23,305,2,40.0,168.0,24.1,3.0,15.0,305.0,98.2
208,59.0,5.0,1.0,6.0,2.0,bal,det,7,1,6,33,53,284,0,14.0,84.0,11.5,1.0,33.0,284.0,63.4
209,51.0,0.0,0.0,0.0,0.0,det,bal,7,0,38,21,28,357,3,27.0,146.0,20.1,2.0,21.0,357.0,180.9
210,64.0,1.0,1.0,3.0,1.0,ne,buf,7,1,25,27,41,265,2,24.0,81.0,8.7,1.0,27.0,265.0,84.2
