,Receiving,Rec,Yds,Avg,Long,TD,Tgt,FL,opp,weekn
1719,Skyy Moore,1,8,8.0,8,0,3,0,den,8
1720,Kadarius Toney,1,4,4.0,4,0,1,0,den,8
1721,Isiah Pacheco,3,-3,-1.0,7,0,4,0,den,8
1722,Blake Bell,0,0,0.0,0,0,1,0,den,8
1723,Khalil Shakir,6,92,15.3,30,0,6,0,tb,8
1724,Gabe Davis,9,87,9.7,16,1,12,0,tb,8
1725,Stefon Diggs,9,70,7.8,17,0,12,0,tb,8
1726,Dalton Kincaid,5,65,13.0,22,1,7,0,tb,8
1727,James Cook,1,6,6.0,6,0,1,0,tb,8
1728,Latavius Murray,1,4,4.0,4,0,1,0,tb,8
1729,Rachaad White,7,70,10.0,20,0,7,0,buf,8
1730,Chris Godwin,5,54,10.8,31,1,7,0,buf,8
1731,Mike Evans,3,39,13.0,24,1,6,0,buf,8
1732,Cade Otton,4,27,6.8,12,0,6,0,buf,8
1733,Trey Palmer,3,22,7.3,15,0,6,0,buf,8
1734,Chase Edmonds,2,16,8.0,9,0,3,0,buf,8
1735,Rakim Jarrett,1,9,9.0,9,0,3,0,buf,8
1736,Payne Durham,0,0,0.0,0,0,1,0,buf,8
1737,Amon-Ra St. Brown,6,108,18.0,44,0,9,0,lv,8
1738,Sam LaPorta,8,57,7.1,18,1,10,0,lv,8
1739,Jahmyr Gibbs,5,37,7.4,14,0,5,0,lv,8
1740,Kalif Raymond,2,24,12.0,14,0,4,0,lv,8
1741,Jameson Williams,2,16,8.0,22,0,3,0,lv,8
1742,Josh Reynolds,1,13,13.0,13,0,1,1,lv,8
1743,Craig Reynolds,1,12,12.0,12,0,1,0,lv,8
1744,Brock Wright,1,5,5.0,5,0,1,0,lv,8
1745,Josh Jacobs,2,27,13.5,15,0,4,0,det,8
1746,Austin Hooper,2,19,9.5,11,0,2,0,det,8
1747,Hunter Renfrow,2,19,9.5,18,0,4,0,det,8
1748,Michael Mayer,1,19,19.0,19,0,2,0,det,8
1749,Jakobi Meyers,1,19,19.0,19,0,1,0,det,8
1750,Ameer Abdullah,1,12,12.0,12,0,1,0,det,8
1751,Davante Adams,1,11,11.0,11,0,7,0,det,8
1752,Trey McBride,10,95,9.5,22,1,14,0,bal,8
1753,Michael Wilson,4,58,14.5,29,0,6,0,bal,8
1754,Marquise Brown,6,33,5.5,9,1,9,0,bal,8
1755,Rondale Moore,2,10,5.0,6,0,3,0,bal,8
1756,Keaontay Ingram,1,7,7.0,7,0,1,0,bal,8
1757,Damien Williams,1,4,4.0,4,0,1,0,bal,8
1758,Emari Demercado,1,1,1.0,1,0,1,0,bal,8
1759,Zach Pascal,0,0,0.0,0,0,1,0,bal,8
1760,Mark Andrews,4,40,10.0,13,1,5,0,ari,8
1761,Justice Hill,4,40,10.0,24,0,4,0,ari,8
1762,Rashod Bateman,2,34,17.0,29,0,2,0,ari,8
1763,Zay Flowers,5,19,3.8,8,0,7,0,ari,8
1764,Gus Edwards,2,14,7.0,9,0,2,0,ari,8
1765,Isaiah Likely,1,10,10.0,10,0,1,0,ari,8
1766,Nelson Agholor,0,0,0.0,0,0,1,0,ari,8
1767,Odell Beckham Jr.,0,0,0.0,0,0,4,0,ari,8
1768,Austin Ekeler,7,94,13.4,39,1,8,1,chi,8
1769,Keenan Allen,8,69,8.6,26,0,10,0,chi,8
1770,Quentin Johnston,5,50,10.0,18,0,6,0,chi,8
1771,Donald Parham Jr.,4,43,10.8,17,1,5,0,chi,8
1772,Joshua Palmer,3,24,8.0,9,0,4,0,chi,8
1773,Simi Fehoko,1,9,9.0,9,1,2,0,chi,8
1774,Isaiah Spiller,1,5,5.0,5,0,1,0,chi,8
1775,Derius Davis,2,4,2.0,5,0,2,0,chi,8
1776,Cole Kmet,10,79,7.9,17,0,10,0,lac,8
1777,DJ Moore,4,55,13.8,18,0,6,0,lac,8
1778,Darnell Mooney,1,41,41.0,41,0,4,0,lac,8
1779,Darrynton Evans,3,22,7.3,8,0,4,0,lac,8
1780,Tyler Scott,1,11,11.0,11,0,3,0,lac,8
1781,Roschon Johnson,3,10,3.3,7,0,4,0,lac,8
1782,Robert Tonyan,1,8,8.0,8,0,1,0,lac,8
1783,Velus Jones Jr.,1,4,4.0,4,0,2,0,lac,8
1784,D'Onta Foreman,1,2,2.0,2,0,2,0,lac,8
1785,Khari Blasingame,0,0,0.0,0,0,1,0,lac,8
1786,George Kittle,9,149,16.6,34,0,11,0,cin,8
1787,Brandon Aiyuk,5,109,21.8,31,0,9,0,cin,8
1788,Christian McCaffrey,6,64,10.7,28,1,7,0,cin,8
1789,Ray-Ray McCloud III,2,43,21.5,41,0,2,0,cin,8
1790,Elijah Mitchell,0,0,0.0,0,0,1,0,cin,8
1791,Ja'Marr Chase,10,100,10.0,20,1,12,0,sf,8
1792,Tee Higgins,5,69,13.8,33,0,6,0,sf,8
1793,Tyler Boyd,3,40,13.3,22,1,3,0,sf,8
1794,Irv Smith Jr.,4,25,6.3,11,0,4,1,sf,8
1795,Trenton Irwin,2,24,12.0,21,0,2,0,sf,8
1796,Joe Mixon,3,23,7.7,12,0,3,0,sf,8
1797,Andrei Iosivas,1,2,2.0,2,1,1,0,sf,8
1798,Drew Sample,0,0,0.0,0,0,1,0,sf,8
1799,Jahan Dotson,8,108,13.5,23,1,10,0,phi,8
1800,Jamison Crowder,7,95,13.6,26,1,7,0,phi,8
1801,Terry McLaurin,5,63,12.6,26,1,12,0,phi,8
1802,Logan Thomas,6,44,7.3,16,1,8,0,phi,8
1803,Antonio Gibson,5,28,5.6,16,0,5,0,phi,8
1804,Curtis Samuel,4,22,5.5,9,0,4,0,phi,8
1805,Brian Robinson Jr.,2,20,10.0,11,0,2,0,phi,8
1806,John Bates,1,17,17.0,17,0,1,0,phi,8
1807,Alex Armah,1,0,0.0,0,0,1,0,phi,8
1808,Byron Pringle,0,0,0.0,0,0,1,0,phi,8
1809,A.J. Brown,8,130,16.3,25,2,8,0,was,8
1810,DeVonta Smith,7,99,14.1,38,1,7,0,was,8
1811,Dallas Goedert,4,36,9.0,16,0,7,0,was,8
1812,Kenneth Gainwell,5,30,6.0,17,0,5,0,was,8
1813,Julio Jones,1,8,8.0,8,1,2,0,was,8
1814,D'Andre Swift,2,7,3.5,5,0,3,0,was,8
1815,Olamide Zaccheaus,1,5,5.0,5,0,2,0,was,8
1816,Boston Scott,1,4,4.0,4,0,1,0,was,8
1817,Tyler Lockett,8,81,10.1,17,1,9,0,cle,8
1818,DK Metcalf,5,67,13.4,43,0,14,0,cle,8
1819,Jaxon Smith-Njigba,3,36,12.0,19,1,4,0,cle,8
1820,Noah Fant,2,32,16.0,27,0,3,0,cle,8
1821,Jake Bobo,2,23,11.5,15,0,2,0,cle,8
1822,Zach Charbonnet,2,11,5.5,7,0,2,0,cle,8
1823,Kenneth Walker III,1,4,4.0,4,0,2,0,cle,8
1824,Amari Cooper,6,89,14.8,24,0,11,0,sea,8
1825,David Njoku,4,77,19.3,41,1,8,0,sea,8
1826,Pierre Strong Jr.,1,41,41.0,41,0,1,0,sea,8
1827,Elijah Moore,2,30,15.0,21,0,5,0,sea,8
1828,Kareem Hunt,1,12,12.0,12,0,1,0,sea,8
